sentiment,text
1,gorgeous top with hint of pizazz.
1,else lingerie jardin silk bralette review.
1,super cute and flattering too.
1,very cute jacket.
1,cute but too large.
1,great but size down.
0,not for the busty.
1,pretty adn flattering.
1,love everything about htis dress.
1,manette clipdot blouse.
1,fun mix of colors in the grey version.
1,so pretty and great style.
1,retailer like it used to be.
1,for the shorter girls.
1,flattering and comfortable.
1,still love it even if.
1,pretty spring flowers.
0,cute concept fits weird.
1,nice but short.
1,pretty top for work days.
1,love this dress.
1,feminine flattering versatile.
1,so cute but weird fit.
1,comfy cute and colorful.
1,best fitting dress.
1,gorgeous flattering blouse.
0,cropped and itchy.
1,cute but skip the petite unless you are very short.
1,manette clipdot blouse.
1,elegant and well made.
1,beautiful blouse very flattering.
0,weird color and fit.
1,looks better on.
1,fun tag sale find.
1,cute and fun.
1,the right kind of casual.
1,great dress or tunic.
1,love love love this tunic.
1,sleeves are really small.
1,comfortable and chic.
1,perfect balance of classy and sexy.
1,cute fit perfect length.
1,comfortable and great looking.
1,love this dress.
0,beautiful blouse but.
1,feminine and pretty.
0,not fan  childish.
1,runs large through the chest.
1,love my new favorite jacket.
1,love the lace detail.
1,a must buy.
1,prety dress that fits true to size.
1,very nice just as pictured.
1,glad took chance on these.
1,comfortable and unique.
1,fits so well.
1,stunning special occasion dress.
1,love this shirt.
0,not for us chesty girls.
0,fit is not cute.
0,do not like the front.
0,not doing anything for me.
0,not for me.
1,love this dress.
1,classy little dress.
1,unique piece  boho chic.
1,my favorite black top.
1,different than the rest .
1,very cute snug fit.
1,gorgeous quality knit.
0,wanted to love but sadly will return.
1,lovely but smells like last purchaser is deodorant.
1,interesting but awkward to actually wear.
1,beautiful but few caveats.
0,loved in theory.
1,great casual dress to throw on.
1,plaid bomb pairs fabulous with everything fall.
1,perfect fall jacket.
1,functional casual dress.
1,best bathing suit.
1,overpriced but so comfortable.
1,my new favorite swim suit.
1,cute and unique.
1,great suit for busy moms.
0,boxy and short.
0,wanted to love these.but.meh.
1,comfy and cute.
1,vibrant effortless beautiful.
1,very cute and comfortable.
1,great basic pants.
0,what waste.
1,great pants that do not get baggy.
1,the perfect swimsuit  functional and stunning.
0,not what had hoped for.
1,thick and beautiful sweater.
0,loungewear not outdoor wear.
1,super comfy and great fit.
1,cute slim pants.
1,cute and comfortable swimsuit.
0,cute but did not work for me .
1,great price for.
0,great material awkward length.
1,love these pants highly recommend.
1,simple but different.
1,so many compliments.
1,great staple sweater.
1,unique and adorable.
1,fun casual pant perfect for summer and early fal.
1,beautiful dress weird sizing.
0,started out perfect.
1,perfect layering sweater.
0,runs very small.
1,great casual top.
1,great for travel.
1,great neckline  good xl fit.
0,beautiful print bad fit.
1,great slouchy sweater perfect color.
1,love these pants.
1,the tee have always been looking for.
1,the softest leggings.
1,great fall sweater.
1,still cute despite.
1,more colorways please d.
1,love this top.
1,everyday winter updated.
1,darling and sophisticated.
1,casual comfort with style.
1,pretty dress lots of fabric.
1,casual and comforable. love it.
1,great casual shirt.
1,love the neckline.
1,amazingly cute but runs huge.
1,perfect for cool summer evenings.
1,cute tee with fun neckline.
1,beautiful and unique but did not work for me.
1,nice spin on an everyday tshirt.
1,elegant retro sweater tee.
1,beautiful blue but.
1,comfortable fashionable throw on over anything.
0,perfer beige over pink.
0,so very disappointed.
1,basic with twist.
1,love this shirt.
1,nice comfy sweater.
0,cute but didnt love.
1,great for hot summers.
1,finally found nice leggings.
0,gorgeous on the hanger but not for me.
0,primula cocoon cardi.
0,not for me.
1,beautiful runs very large.
1,super soft and comfortable.
0,awful if you have any sort of curves.
1,modern take on  is vibe.
1,most beautiful sweater that own.
0,no slip and totally sheer dress.
0,ordinary for the price.
0,did not work on my pear shape.
1,good basic  but sheer.
1,do not trust anyone.
1,could not get past the itch factor.
1,stunning just buy belt with it.
0,if only it looked like the photo.
0,not as pretty in person.
1,feminine and tts.
1,size down  loose flowing material  love it.
1,warm and chic.
1,perfect tank to be dressed up or down.
1,pretty and feminine.
0,wanted to love it  but . . .
1,love love love.
1,loved this top.
0,very plain on the front.
0,might be great if you have bun in the oven.
0,pretty but just okay when worn.
1,great winter tunic.
0,not great design.
1,super cute order size down.
1,nice casual tunicdress.
1,not as bad as previously reviewed.
1,love the black.
1,cute but short.
0,too long poor quality.
1,sent to me damaged.
1,not for me.
0,not for tall ladies.
1,i am in love.
1,pretty cropped cardigan.
0,love but poorly made.
1,this velvet has swagger.
1,lokka is lovely.
1,the perfect fall dress.
1,adorable comfortable flattering this has it all.
1,not enough structure fo rme.
1,could be bit shorter.
0,not worth the .
1,well.it is green.
1,adorable top little pricey.
0,huge arm holes.
0,looks can be deceiving.
1,not as pictured.
1,gorgeous top straps way too long.
1,perfect for any season.
1,super cute pants.
0,so wanted to love it.
1,cute casual shorts.
0,not for big girls .
1,a little hipy.
0,maybe one got it is not right.
1,buy these now.
1,classic with twist.
1,great yarn texture and colors look closely though.
1,great for tall ladies.
1,kind of calssic retailer.
0,not petite inseam.
0,frayed bottom hem.
0,this is not red.
1,unfortunately for me but good for someone else.
1,great for dressing up or down.
1,love at first wear.
1,lovely and colorful.
1,flirty cocktail dress.
1,what dream.
0,size and function.
0,looks better on line.
1,sporty and chic.
1,great little top.
1,comfortable stylish  is relived.
1,long pocket equals short leg.
1,better than in the photo.
1,great great top.
1,love love love.
1,great quality but.
1,chic and classy.
0,pretty but already piling.
0,cute but no sale.
0,pretty pattern weird texture.
1,lovely and flattering.
0,not flattering on.
0,shorter than expected.
1,little green riding hood.
1,great dress for all occasions.
1,love these for fall.
1,luv so comfy.
1,soft and unique but short sleeves.
1,divine and comfortable.
1,must try on.
1,pretty color nice fit fun tback.
1,want go get another in diff color.
1,soft but boxy.
1,super comfy but very boxy.
0,the fabric is heavy.
1,finally jeans for curves.
1,cozy comfy beautiful top.
1,warm and cozy.
1,love this sweater.
0,washed out looking.
1,soft and flattering.
1,soft flattering warm and versatile.
1,my holiday dress.
1,close but not quite right.
1,sweater not coat. but amazing.
0,comfortable but not exciting.
1,love this lightweight coat.
1,soft  warm.
1,love at first fit.
0,too much for this sweater.
1,super comfortable but big.
1,love. love. love.
1,owned in  sizes  colors all great.
1,strange and wonderful.
1,best to try on in store.
1,beautiful design but not great quality.
1,worth every penny.
1,cozy flattering and practical.
1,best sweater jacket.
1,not for every body type.
1,best for staright figures.
1,so happy ordered this.
1,wanted to love it but just kinda like it.
1,comfy  cute.
1,love this sweater.
1,classically byron lars.
1,cotton cotton love cotton.
0,large and very wide.
1,love this sweater.
1,interesting sweater good quality.
1,nice cotton sweater.
0,quality  cut.
1,not as great as the photos.
1,beautiful casual top.
1,great tee but kind of short.
0,pretty but not for me.
1,love the color.
1,finally flattering sweater.
1,great dress not for me.
0,farm animal pullover.
1,perfect in all respects.
1,i wanted to love this sweater but.
1,upscale unique sweater.
1,petite busty girls rejoice .
1,such beautiful victorian blouse.
0,paisley silk maxi dress.
1,beautiful top looks great with blackgray jeans.
1,gorgeous high quality and figure flattering.
1,pretty in pink.
1,this dress is divine.
1,cute top but beware it shrinks.
0,runs big great material but not as pictured.
1,beautiful cozy sweater.
1,worth thr .
1,zipper is short.
1,pretty and feminine.
1,my absolute favorite top.
1,not perfect but cute shirt.
0,great color not so great tailoring.
0,i wanted to love this shirt.
1,love this blouse.
1,super cute with right body style.
1,love love love this dress.
1,elegant timeless and versatile.
1,ig brought me here.
0,wanted to love her.
1,victorian in good way.
1,love this blouse.
1,one can never have enough sequins.
0,great fabric but really bad shape.
1,so much cuter in person and oh so comfy.
0,beautiful top but it shrank substantially.
0,cute dress but poor design.
0,wanted to love it.
1,ca not miss classic.
1,cute and comfortable.
1,favorite summer top.
1,unusual and eyecatching.
1,beautiful in blue.
1,cute but runs small.
0,not what thought.
1,beautiful day to evening skirt.
0,stretch out whole size.
1,love love love.
0,gorgeous  but.
1,everyday casual and cute.
1,unusual cool fun top.
0,l space chloe top.
1,soft tank for the summer.
0,fine for fitness class.
1,pretty much just like picture.
1,absolutely beautiful and feminine.
1,lovely comfortable and versatile.
0,not sure what body type this suit is designed for.
0,loved but both in my store had quality issues.
1,came dirty but nice fit.
1,bright  versatile.
1,super cute. pockets would be nice.
1,prettier in person.
0,pretty but not great.
1,beautiful summer dress.
1,comfy and cute pants.
1,finally found my staple summer dress.
1,why is it so big.
0,not what expected.
1,beautiful flattering but runs large.
0,did not try it on.
1,cute casual summer dress.
1,throw on and go perfection.
1,just nice dress.
1,pretty but runs big.
1,fun easy dress.
1,lovely feminine needs belt for definition.
0,pretty dress but oddly cut in the middle.
1,beautifully constructed dress runs large.
1,perfect for irish fest and beyond.
1,cute sweet flirty sexy.
1,nice simple staple.
1,flowy and flirty for summer flings.
1,great dress but not in green.
1,a little itchy for me.
1,pretty comfy casual dressy.
1,amazing fit and wash.
1,elegant and comfortable.
1,bought in  patterns.
1,cute with some adjustments.
0,way cuter in the photo.
1,go to summer top.
1,the lady dress.
0,not so flattering top.
0,too much fabric.
1,new year party dress.
1,soft warm and stylish.
1,darling top runs large and long.
1,this top is really cute.
1,xl fits great.
1,cute summer top.
1,beautiful and versatile but big.
1,runs large  order down.
1,flattering comfy top.
1,amazing retro style.
0,wanted to love.
1,wanted to love this.
1,perfect for summer.
1,fell in love.
1,recommended for tan to dark complexions.
0,not as pictured.
1,ca not get enough.
1,cute and comfy.
0,pretty top poor fit.
0,avoid if you are curvy.
1,fun top for all seasons.
1,very flattering and comfy.
1,great fall piece.
1,lovely but not awesome.
1,cute and fun top.
1,lovely unique and odd.
0,cute but not on me.
1,love it so much.
1,cute white tee.
1,a unique one of kind shirt.
1,size up if busty.
1,comfy and lovely.
0,wanted to love.
1,this dress is so classic.
1,love this top.
0,fits like maternity.
1,i ended up loving this dress.
1,order down size sooooooooooooo cute.
1,love the color.
1,i wanted to love it.
1,must see in person.
1,perfect for fall layering.
0,beautiful fabric  odd fit.
1,soft subtle loveliness.
0,wanted to love it.
1,great overall but with it is issues.
0,cute shirt but not for me.
0,not as pictured.
1,soft lightweight and cool.
0,not the same.
1,yeh what she said.
1,my favorite workout leggings.
0,not what wanted.
0,wish it was longer length.
1,great summer  dress.
0,looks like babydoll dress.
1,beautiful and soft yet length is deceiving.
0,love the way it looks but could not keep it.
0,not what expected.
1,beautiful winter color.
0,odd boxy fit.
0,umm what is this.
1,nice summer tshirt.
1,this shirt will brighten you day.
1,very cute tee.
1,beautiful and tailored.
1,star print is so pretty.
1,soft and cute.
1,lovely but armholes too revealing for me.
1,very cute everyday dress.
1,a lovely piece to be worn and cherished.
0,a poor quality dress.
0,this sweater is short in length.
1,signature retailer sweater.
1,beautiful and unique dress.
1,nice dress fit is ok.
1,a little big up top.
1,lovely lace top.
1,skirt flares more than it looks.
1,oh so gorgeous.
1,love these jeans.
1,beautiful feminine blouse.
1,pretty low cut arm holes.
1,very pretty  runs large busty petites rejoice .
1,love this dress.
1,gorgeous turquoise color.
1,skarlett blue demi convertible bra review.
0,much cuter in the picture.
1,cute and comfy dress.
1,lovely feel and color.
0,very messy tshirt.
0,down with drycleaning.
1,great maxi dress.
1,bad fit for me.
1,great dress too short.
1,perfect for everyone.
1,beautiful summer dress.
1,comfy runs large.
1,super comfy dress.
1,they keep their shape.
1,do not size up.
1,really cute dress if you can do the handkerchief.
0,worst purchase ever.
0,not good quality.
1,great summer dress.
1,summer and spring go to tunic.
1,beautiful casual dress.
1,perfect and easy to wear dress.
1,great fall dress.
1,makes my butt look amazing.
1,not halter.
1,beautiful color and drape.
1,not midi on me but still so cute.
0,comfortable and pretty.
1,perfect everyday dress.
1,so cute but so big.
1,excellent cut and ideapoor fabric c.
0,very cute runs small.
0,cute shirt but really strange design.
1,too tight and too big at the same time.
1,best strapless ever.
0,runs very small.
0,good luck getting it on.
1,cute but itchy.
0,would love the cut but.
1,my new favorite pullover.
0,top gapes open.
1,great top to transition to fall.
1,is this really black.
1,great fall top.
0,not for the well endowed.
1,ok lightweight jean.
1,great top for everyday wear.
1,classic with twist.
1,stylish comfortable and affordable.
1,nice fit nice quality.
0,i wanted to like this.
1,perfect work pants.
1,small in the waist.
1,so very retailer.
1,my new favorite skirt.
1,versatile great fit pockets.
0,sleeves stretch out.
1,great fit for curves.
1,red evanthe dress.
0,have not washed well.
1,beautiful flattering top.
1,i wear my sunglasses.
0,does not fit well but is beautiful.
1,smallchested women need not apply.
1,beautiful sweater but not flattering on me.
1,pop of color.
1,dress up or down.
1,lovely but not for me.
1,great summer print.
1,gorgeous and flexible.
1,bright spring skirt.
1,w d collar.
1,fun and uniquely dramatically elegant.
1,pretty but not for me.
1,soft lace and beautiful color.
1,comfy and classic.
1,ideal fit and feel for gals with curves.
1,madly in love.
1,best purchase anywhere lately.
1,wish it loved me back.
1,i love this skirt.
1,just as cute as expected.
1,nice fall dress but needs the right body type.
1,so flipping soft and pretty.
0,it is bell.
1,so cute and unique.
1,dream pants do come true.
1,cute  unique.
1,great twist on cargo jacket.
1,cozy sweater in boxy style.
1,attractive casual pants nice texture and color.
1,my new fave.
0,wanted to love but.
1,sexy simple top.
0,too low cut.
1,cute style but runs big.
0,shorter  smaller than picture description.
1,ac is running.
1,runs really small.
1,order up size.
1,stylish and functional.
1,lovely pants bad fit.
1,lovely airy but tad big.
1,super cute and flow perfect for summer.
1,gorgeous big floral.
1,cozy and warm.
1,on the fence.
1,i love them.
1,cute and decent make.
1,pretty but sheer.
1,not quite perfect.
0,wanted to love these but did not.
0,maybe not for everyone.
1,could live in this jumpsuit.
1,cute and funky work pants.
1,nice winter dress.
1,great romper but not for all body types.
1,material was light and comfortable.
1,unique and well made.
1,not for me.
1,embroidered gauze romper.
1,nice pants if you have super tiny calves.
1,favorite retailer purchase.
0,great quality and color but boxy and illfitting.
1,versatile comfortable dress.
1,a size  too big.
1,love these pants.
1,fun true to size.
1,flowy  fun.
1,perfect for hourglass.
1,absolutely beautiful and comfortable.
0,pretty but ill fitting.
0,too big on top.
1,best for tall folks.
1,classic and timeless.
1,great work skirt.
1,why did order this.
1,cute  comfortable.
1,loved it but big.
1,love the color and stretch.
1,color better in person.
0,cute but no shape or support up top.
1,shoulders are puffy.
1,better in person.
0,beautiful details but not quite right.
1,fits like glove.
0,why floreat so perfect yet so wrong.
1,love it but runs large.
1,add to your collection.
1,wear now along wear later with sweater.
1,just beautiful but.
1,stunning just was not quite right for my needs.
0,very sheer and not as form fitting.
1,great summer t.
1,great staple with unique touches.
1,quality and whimsy.
0,this top runs very large.
1,flattering and comfortable.
1,beautiful but has flaws.
1,add little fun.
1,great autumn sweater.
0,wish it looked as cute in person.
1,relaxed flowing fit.
1,soft and relaxed fit.
1,pretty and nicely cut.
0,i wanted to love them.
1,flattering and easy.
1,not white tee.
0,darker in person.
1,capsule wardrobe staple.
1,soft and flattering.
1,great all around top.
1,the best layering piece.
1,cute sweater runs large.
1,the alternative to the green cargo jacket.
1,classic and trendy.
1,need petite sizing.
1,love this top.
1,bright and airy.
1,cute little cardi.
1,much cuter in person.
1,good everyday shirt.
0,does not fit as expected.
1,soft and cute.
1,green not as pictured.
1,love this jacket.
1,nice little top.
1,my new favorite jeans.
1,off the shoulder elastic issues.
1,the best boy short.
1,a little long.
1,nice but not for me.
1,cute and comfy.
1,one of the best denim dusters.
1,good but runs very small.
0,runs small stiff top.
1,great fit alluring.
0,omg back is seethrough.
0,runs very small.
0,fit works for some and for others.
1,great work skirt.
1,beautiful skirt  get ready for compliments.
1,surprisingly nice in person.
1,not for my body type.
0,not like the photo at all.
0,too low and very big armholes.
1,red in xl is pretty.
1,love this skirt.
1,wish it fit better for me.
1,surprisingly flattering.plus pockets.
1,very flattering fit.
0,lovely top that runs very large.
1,beautiful drape very deep v.
1,unique spin to classic button down.
1,so great  but quality not amazing.
1,fun  flirty take on preppy look.
1,pretty springsummer top.
1,perfect fit for broad shoulders.
1,absolute steal at sale price.
1,colorful  lovely.
1,great idea okay execution.
1,great buy on sale.
1,just like the photo.
1,cute summer top.
1,so different in good way.
0,droopy front heavy fabric.
1,feminine romantic skirt.
0,cute. if you are planning to hold it on.
0,high in back.
1,not for me.
1,great black crops.
1,lining makes all the difference.
1,great material and design.
0,really wanted to like it but.
1,the maxi dress have been looking for.
0,high hopes but tiny and flimsy.
1,loved but unsure about quality.
1,beautiful unique top.
1,lovely skirt runs bit large.
1,love this dress.
1,love this top.
1,sizing is all over the map.
1,gorgeous maxi dress.
1,cute leggings for cooler days but be aware of fit.
1,great dress but.
1,this dress is perfect.
1,i adore this dress.
0,sleeves too tight.
1,dreamy bohemian maxi.
0,beautiful .but not for long torso.
1,great casual top.
1,great autumn dress.
1,great legging cord.
1,nice fitting cordsbronze.
1,another tracy reese winner.
1,cute but little maternity looking.
1,ingenious mix of line and detail ranna gill.
0,not as shown.
1,great dress even better in person.
1,in love with this dress.
1,nice knit button up.
1,perfect summer pants.
1,belle of the ball.
1,just perfect pair.
0,super cute but not for me.
1,great daynight pants.
1,great for spring.
0,beautiful  if you are pregnant with twins.
0,beautiful dress fits poorly.
1,surprised this shirt is still available .
0,i would rather pay property taxes than buy this one.
1,ok but did not love the length on me.
1,nice but stil la tad long in eptite.
1,perfect except runs way too small.
1,the perfect pant for warmer weather.
1,love these pants.
1,truly beautiful dress.
1,off the grid.
1,like do not love.
1,my favorite spring pants.
1,ca not resist hot air balloons.
1,perfect summer crop.
1,nice summer pants.
1,awesome versatile jeans.
1,love but more tall options please.
1,great pants tad long in petite.
1,comfy and flattering.
1,great shirt excellent details.
1,great take on classic.
1,very cute very very cute.
0,very unflattering dress.
1,super cute wear well.
1,sizing is off.
1,fun but not perfect.
0,would be great but.
1,perfect every day neutral.
0,wanted to like it.
1,try on before purchasing.
1,not your everyday cardi.
1,most comfortable fabric have ever worn.
0,cute skirt in theory.
1,love this shirt.
0,ca not get it on.
1,flattering and versatile.
1,wide and long.
1,great tshirt for everyday use.
1,good idea wrong color.
1,another huge dress.
1,an absolute hit  if you buy the right print.
1,girls with hips  size up.
0,would be cute if could get it on.
1,love this dress.
1,cute and comfy.
1,gorgeous green color.
1,love these jeans.
1,pleasing spring floral print.
1,gorgeous spring blouse.
1,gorgeous vintage glamour.
1,fun summer dress.
1,beautiful shortt dress.
1,love this dress.
1,recommended for certain body types.
1,prettier in person.
1,in agreement with other reviewers.
1,review for fit only.
1,beautiful shade of pink very lowcut.
1,a step up.
1,beautiful soft and cozy.
1,well made. beautiful colors.
1,awesome pair of high waisted jeans.
1,one of the most beautiful dresses have ever seen.
0,very cute but impossible to put on.
1,love it. stylish but comfortable and low key.
1,such beautiful well fitting dress .
1,comfy and cute.
1,very cute but.
1,fun and flirty.
1,very well made  runs large.
1,this dress is adorable.
0,good concept poor product.
1,great featurespocketslace in front.
1,tried it on whim. love it.
1,great casual dress.
1,lovely and so flattering.
1,beautiful but big.
1,flowy functional dressy.
0,not for me.
1,runs big in bust.
1,finally saw it in person.
1,go to dress.
1,love this dress.
1,love this sweater.
1,a bit big.
1,gorgeous top but very highwaisted.
0,too cute but .
1,the most versatile top.
1,my goto shirt.
1,beautiful dress  runs huge.
1,great dress with little help added.
0,poor fabric quality.
1,beautiful dressif you can figure out your size.
1,bought for my sister she loves it.
0,nice design but quality isses.
1,love this wool seamed vest.
1,good summer tank.
0,shrinks shrinks shrinks.
1,short dress long sleeves yes please.
1,great top runs little short.
1,great classic look for fall.
0,poor shape for my body type.
1,its keeper.
0,weird fit in the bust.
1,cute style very wide.
0,loved it but.
1,rust not red.
0,runs small in bust.
1,great style not so great workmanship.
1,that unique retailer dress.
1,wanted to love.
1,love love love.
1,lovely but it is tight in the chest.
1,another tiny success.
0,not kind to curves.
0,cute top.but shrinks horribly.
1,flattering comfortable.
0,fabric is very stiff.
1,beautiful color pretty design nice fabric.
0,too much pep in this peplum.
1,the perfect purple piece.
1,gorgeous and flattering dress by maeve.
0,almost but not quite.
1,great every day longsleeved tee.
1,best basic ever.
0,perfect until washed.
0,not for me.
0,love it but. . .
1,soft  versatile tee.
1,need them all.
1,best. tee. ever.
1,love but different colors fit differently.
1,comfort and style to the max.
1,nice but  spandex makes it bit clingy.
1,confortable  simple.
0,did not fit well for me awkward and dull.
1,luxurious basic tee.
1,great summer dress.
1,favorite go to top.
0,oversized and unflattering.
1,very pretty top.
1,perfect denim jacket.
1,run do not walk to buy this.
0,want to like it.
1,perfect long sleeve tee.
1,adorable but not really cardigan more capelet.
1,love this top.
1,only suits smaller chest.
1,the perfect long sleeve tshirt.
0, piece of polyester.
1,best tunic ever.
1,cute casual with twist.
0,this is poncho.
1,great shirt and great quality.
1,this is wonderful top.
1,soft snuggly and cute.
1,amazingly comfortable  but different than photo.
0,lovely but flawed.
1,must have for fall.
1,loved it from the moment saw it.
0,if you have large chest step away form this one.
1,surprised by softness.
0,small up top.
1,great summer pajama pants.
1,cute polka dot pattern.
1,versatile easy to wear top.
1,cozy for lounging.
1,new favorite thing.
1,oh so cozy.
1,love the floral print.
1,cute but hard to put on.
1,romantic top for fall.
1,great for all seasons.
0,too loose and swingy.
1,perfect for fall.
1,gorgeous but .
1,can be flattering.
0,cute fabric but odd cut.
1,great fit but not for  year old.
1,kind of sexy.
0,nice but stiff.
1,wonderful velvet black jeans.
1,great top but needs undershirt.
1,great fitted top.
0,great dress but cut too low.
1,travel weekends work go anywhere top.
1,flattering versatile travel piece.
0,could have been executed better.
0,nice top awful fabric.
1,do love it however.
0,navy oompa loompa.
1,nice dress but cut too low.
0,flattering but very tight in the chest.
1,gorgeous top but difficult zipper.
0,too small too complicated.
1,nice summer top.
1,buckles and zippers and buttons and straps.
1,makes you skinny.
1,not for the large at bust.
1,another great pair of stevies.
0,bought for the color.
0,ripped on first day.
1,this shirt got me job.
1,perfect fit for xl.
1,love it but.
1,surprised liked this.
1,very beautiful but runs large.
1,sizing is off.
1,great quality durable and great fit.
0,beautiful blouse but too boxyswingy.
1,not for me.
1,gorgeous blouse stunning color and pattern.
1,love the shirt but arm holes are bit big.
1,great jean for boyfriend fit.
1,bought the neutral today.
0,beware when washing.
0,pijamas or dress.
1,comfy well made not crazy about the fit.
1,perfect sweater dress to brighten up winter.
1,a supportive comfy bralette actually yes.
1,lovely sweater dress.
1,what controversial piece.
